dataset,field,n,ngram,count
alpaca,instruction,2,the following,1427
alpaca,instruction,2,of the,811
alpaca,instruction,2,generate a,728
alpaca,instruction,2,the given,682
alpaca,instruction,2,create a,656
alpaca,instruction,2,in the,642
alpaca,instruction,2,of a,586
alpaca,instruction,2,for a,548
alpaca,instruction,2,list of,469
alpaca,instruction,2,write a,460
alpaca,instruction,2,a list,421
alpaca,instruction,2,describe the,371
alpaca,instruction,2,for the,317
alpaca,instruction,2,what is,285
alpaca,instruction,2,is the,274
alpaca,instruction,2,to the,263
alpaca,instruction,2,following sentence,246
alpaca,instruction,2,given a,242
alpaca,instruction,2,in a,241
alpaca,instruction,2,explain the,226
alpaca,instruction,2,find the,223
alpaca,instruction,2,with a,221
alpaca,instruction,2,identify the,214
alpaca,instruction,2,on the,208
alpaca,instruction,2,about the,207
alpaca,instruction,2,an example,202
alpaca,instruction,2,rewrite the,202
alpaca,instruction,2,example of,201
alpaca,instruction,2,the sentence,176
alpaca,instruction,2,a new,173
alpaca,instruction,2,up with,163
alpaca,instruction,2,come up,159
alpaca,instruction,2,with the,156
alpaca,instruction,2,sentence to,153
alpaca,instruction,2,given the,152
alpaca,instruction,2,to make,151
alpaca,instruction,2,describe a,150
alpaca,instruction,2,a sentence,143
alpaca,instruction,2,about a,142
alpaca,instruction,2,using the,142
alpaca,instruction,2,from the,137
alpaca,instruction,2,a story,136
alpaca,instruction,2,construct a,132
alpaca,instruction,2,suggest a,131
alpaca,instruction,2,summarize the,131
alpaca,instruction,2,based on,128
alpaca,instruction,2,classify the,125
alpaca,instruction,2,calculate the,124
alpaca,instruction,2,type of,123
alpaca,instruction,2,a given,122
dolly,instruction,2,what is,1585
dolly,instruction,2,of the,1234
dolly,instruction,2,is the,1052
dolly,instruction,2,what are,838
dolly,instruction,2,in the,721
dolly,instruction,2,the following,517
dolly,instruction,2,tell me,492
dolly,instruction,2,are the,491
dolly,instruction,2,give me,454
dolly,instruction,2,from the,422
dolly,instruction,2,list of,400
dolly,instruction,2,is a,392
dolly,instruction,2,me a,372
dolly,instruction,2,how many,281
dolly,instruction,2,identify which,277
dolly,instruction,2,the best,274
dolly,instruction,2,who is,270
dolly,instruction,2,are some,267
dolly,instruction,2,was the,245
dolly,instruction,2,a list,245
dolly,instruction,2,which of,241
dolly,instruction,2,based on,236
dolly,instruction,2,extract the,232
dolly,instruction,2,on the,228
dolly,instruction,2,each of,223
dolly,instruction,2,given this,221
dolly,instruction,2,about the,198
dolly,instruction,2,this paragraph,192
dolly,instruction,2,in a,188
dolly,instruction,2,classify each,179
dolly,instruction,2,reference text,172
dolly,instruction,2,text about,171
dolly,instruction,2,how do,170
dolly,instruction,2,the passage,168
dolly,instruction,2,string or,165
dolly,instruction,2,which instrument,164
dolly,instruction,2,instrument is,164
dolly,instruction,2,is string,164
dolly,instruction,2,the most,163
dolly,instruction,2,paragraph about,161
dolly,instruction,2,of these,161
dolly,instruction,2,write a,151
dolly,instruction,2,following as,149
dolly,instruction,2,me whether,143
dolly,instruction,2,a reference,141
dolly,instruction,2,why is,140
dolly,instruction,2,do you,139
dolly,instruction,2,which is,139
dolly,instruction,2,or percussion:,138
dolly,instruction,2,why do,136
oasst1,instruction,2,can you,1272
oasst1,instruction,2,of the,945
oasst1,instruction,2,in the,730
oasst1,instruction,2,what is,605
oasst1,instruction,2,is the,555
oasst1,instruction,2,what are,516
oasst1,instruction,2,could you,463
oasst1,instruction,2,to the,365
oasst1,instruction,2,give me,362
oasst1,instruction,2,do you,332
oasst1,instruction,2,in a,317
oasst1,instruction,2,write a,314
oasst1,instruction,2,can i,313
oasst1,instruction,2,for the,308
oasst1,instruction,2,me a,306
oasst1,instruction,2,of a,297
oasst1,instruction,2,on the,296
oasst1,instruction,2,i want,292
oasst1,instruction,2,for a,291
oasst1,instruction,2,i am,286
oasst1,instruction,2,how do,282
oasst1,instruction,2,how can,280
oasst1,instruction,2,tell me,276
oasst1,instruction,2,want to,271
oasst1,instruction,2,are the,266
oasst1,instruction,2,to be,261
oasst1,instruction,2,do i,254
oasst1,instruction,2,is a,251
oasst1,instruction,2,as a,240
oasst1,instruction,2,i can,239
oasst1,instruction,2,how to,236
oasst1,instruction,2,i have,227
oasst1,instruction,2,you give,222
oasst1,instruction,2,with the,221
oasst1,instruction,2,are some,220
oasst1,instruction,2,with a,206
oasst1,instruction,2,should i,205
oasst1,instruction,2,is it,188
oasst1,instruction,2,about the,187
oasst1,instruction,2,are there,185
oasst1,instruction,2,and the,181
oasst1,instruction,2,and how,179
oasst1,instruction,2,is there,179
oasst1,instruction,2,from the,168
oasst1,instruction,2,that i,166
oasst1,instruction,2,create a,163
oasst1,instruction,2,you please,162
oasst1,instruction,2,you explain,159
oasst1,instruction,2,would be,158
oasst1,instruction,2,i need,156
